"","X","Date","Stream","Reach","Transect","Quadrat","Order","Family","Count","Size"
"324",324,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"325",325,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"326",326,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"327",327,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"328",328,"2/20/2022","SM",1,2,1,"Ephemeroptera","Heptageniidae",1,1
"329",329,"2/20/2022","SM",1,2,1,"Ephemeroptera","Ephemerellidae",1,1
"330",330,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"331",331,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"332",332,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"333",333,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"334",334,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"335",335,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"336",336,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"337",337,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"338",338,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"339",339,"2/20/2022","SM",1,2,1,"Plecoptera","Perlodidae",1,1
"340",340,"2/20/2022","SM",1,2,1,"Plecoptera","Perlidae",1,1
"341",341,"2/20/2022","SM",1,2,1,"Plecoptera","Perlidae",1,1
"342",342,"2/20/2022","SM",1,2,1,"Plecoptera","Perlidae",1,1
"343",343,"2/20/2022","SM",1,2,1,"Plecoptera","Perlidae",1,1
"344",344,"2/20/2022","SM",1,2,1,"Plecoptera","Perlidae",1,1
"345",345,"2/20/2022","SM",1,2,1,"Trichoptera","Glossosomatidae",1,1
"346",346,"2/20/2022","SM",1,2,1,"Ephemeroptera","Metretopodidae",1,1
"347",347,"2/20/2022","SM",1,2,1,"Plecoptera","Perlidae",1,1
"348",348,"2/20/2022","SM",1,2,1,"Trichoptera","Brachycentridae",1,1
"349",349,"2/20/2022","SM",1,2,1,"Trichoptera","Rhyacophilidae",1,1
"350",350,"2/20/2022","SM",2,2,2,"Ephemeroptera","Heptageniidae",1,1
"351",351,"2/20/2022","SM",2,2,2,"Ephemeroptera","Heptageniidae",1,1
"352",352,"2/20/2022","SM",2,2,2,"Ephemeroptera","Heptageniidae",1,1
"353",353,"2/20/2022","SM",2,2,2,"Plecoptera","Perlodidae",1,1
"354",354,"2/20/2022","SM",2,2,2,"Plecoptera","Perlodidae",1,1
"355",355,"2/20/2022","SM",2,2,2,"Plecoptera","Capniidae",1,1
"356",356,"2/20/2022","SM",2,2,2,"Trichoptera","Sericostomatidae",1,1
"357",357,"2/20/2022","SM",2,2,2,"Trichoptera","Glossosomatidae",1,1
"358",358,"2/20/2022","SM",1,1,2,"Ephemeroptera","Heptageniidae",1,1
"359",359,"2/20/2022","SM",1,1,2,"Ephemeroptera","Heptageniidae",1,1
"360",360,"2/20/2022","SM",1,1,2,"Ephemeroptera","Heptageniidae",1,1
"361",361,"2/20/2022","SM",1,1,2,"Ephemeroptera","Heptageniidae",1,1
"362",362,"2/20/2022","SM",1,1,2,"Ephemeroptera","Heptageniidae",1,1
"363",363,"2/20/2022","SM",1,1,2,"Ephemeroptera","Neoephemeridae",1,10
"364",364,"2/20/2022","SM",1,1,2,"Plecoptera","Perlidae",1,1
"365",365,"2/20/2022","SM",1,1,2,"Trichoptera","Sericostomatidae",1,1
"366",366,"2/20/2022","SM",1,1,2,"Trichoptera","Sericostomatidae",1,1
"367",367,"2/20/2022","SM",3,5,1,"Ephemeroptera","Ephemerellidae",1,1
"368",368,"2/20/2022","SM",5,2,1,"Ephemeroptera","Heptageniidae",1,1
"369",369,"2/20/2022","SM",5,2,1,"Ephemeroptera","Heptageniidae",1,1
"370",370,"2/20/2022","SM",5,2,1,"Ephemeroptera","Ephemerellidae",1,1
"371",371,"2/20/2022","SM",5,2,1,"Plecoptera","Perlodidae",1,1
"372",372,"2/20/2022","SM",3,2,1,"Ephemeroptera","Heptageniidae",1,5
"373",373,"2/20/2022","SM",3,2,1,"Plecoptera","Perlidae",1,1
"374",374,"2/20/2022","SM",1,5,1,"Ephemeroptera","Heptageniidae",1,1
"375",375,"2/20/2022","SM ",1,5,1,"Ephemeroptera","Heptageniidae",1,1
"376",376,"2/20/2022","SM",2,1,2,"Ephemeroptera","Heptageniidae",1,1
"377",377,"2/20/2022","SM",2,1,2,"Ephemeroptera","Heptageniidae",1,1
"378",378,"2/20/2022","SM",2,1,2,"Ephemeroptera","Ephemerellidae",1,1
"379",379,"2/20/2022","SM",2,1,2,"Plecoptera","Perlodidae",1,1
"380",380,"2/20/2022","SM",2,1,2,"Plecoptera","Perlodidae",1,1
"381",381,"2/20/2022","SM",2,1,2,"Plecoptera","Perlodidae",1,1
"382",382,"2/20/2022","SM",2,1,2,"Plecoptera","Perlodidae",1,1
"383",383,"2/20/2022","SM",2,1,2,"Plecoptera","Perlodidae",1,1
"384",384,"2/20/2022","SM",2,1,2,"Plecoptera","Perlodidae",1,1
"385",385,"2/20/2022","SM",2,1,2,"Plecoptera","Perlidae",1,1
"386",386,"2/20/2022","SM",2,1,2,"Plecoptera","Perlidae",1,1
"387",387,"2/20/2022","SM",3,3,2,"Ephemeroptera","Baetidae",1,1
"388",388,"2/20/2022","SM",5,1,1,"Ephemeroptera","Heptageniidae",1,1
"389",389,"2/20/2022","SM",5,1,1,"Ephemeroptera","Heptageniidae",1,1
"390",390,"2/20/2022","SM",5,1,1,"Ephemeroptera","Heptageniidae",1,5
"391",391,"2/20/2022","SM",5,1,1,"Plecoptera","Perlodidae",1,1
"392",392,"2/20/2022","SM",5,1,1,"Plecoptera","Perlodidae",1,1
"393",393,"2/20/2022","SM",5,1,1,"Plecoptera","Perlodidae",1,1
"394",394,"2/20/2022","SM",3,5,1,"Ephemeroptera","Heptageniidae",1,1
"395",395,"2/20/2022","SM",3,5,1,"Ephemeroptera","Heptageniidae",1,1
"396",396,"2/20/2022","SM",3,5,1,"Ephemeroptera","Baetidae",1,1
"397",397,"2/20/2022","SM",3,5,1,"Ephemeroptera","Baetidae",1,1
"398",398,"2/20/2022","SM",3,5,1,"Plecoptera","Perlodidae",1,1
"399",399,"2/20/2022","SM",2,5,1,"Ephemeroptera","Heptageniidae",1,5
"400",400,"2/20/2022","SM",2,5,1,"Ephemeroptera","Heptageniidae",1,5
"401",401,"2/20/2022","SM",2,5,1,"Ephemeroptera","Heptageniidae",1,5
"402",402,"2/20/2022","SM",2,5,1,"Ephemeroptera","Heptageniidae",1,1
"403",403,"2/20/2022","SM",2,5,1,"Ephemeroptera","Heptageniidae",1,1
"404",404,"2/20/2022","SM",2,5,1,"Ephemeroptera","Heptageniidae",1,1
"405",405,"2/20/2022","SM",2,5,1,"Ephemeroptera","Heptageniidae",1,1
"406",406,"2/20/2022","SM",2,5,1,"Ephemeroptera","Heptageniidae",1,1
"407",407,"2/20/2022","SM",5,3,2,"Plecoptera","Perlidae",1,10
"408",408,"2/20/2022","SM",5,3,2,"Plecoptera","Perlidae",1,1
"409",409,"2/20/2022","SM",5,3,2,"Plecoptera","Perlodidae",1,1
"410",410,"2/20/2022","SM",5,1,2,"Ephemeroptera","Heptageniidae",1,1
"411",411,"2/20/2022","SM",5,1,2,"Trichoptera","Thremmatidae",1,10
"412",412,"2/20/2022","SM",5,2,2,"Plecoptera","Perlodidae",1,5
"413",413,"2/20/2022","SM",5,2,2,"Plecoptera","Perlodidae",1,1
"414",414,"2/20/2022","SM",5,2,2,"Plecoptera","Perlodidae",1,1
"415",415,"2/20/2022","SM",5,2,2,"Ephemeroptera","Heptageniidae",1,1
"416",416,"2/20/2022","SM",5,2,2,"Ephemeroptera","Heptageniidae",1,1
"417",417,"2/20/2022","SM",5,2,2,"Ephemeroptera","Baetiscidae",1,1
"418",418,"2/20/2022","SM",5,2,2,"Ephemeroptera","Batidae",1,1
"419",419,"2/20/2022","SM",3,2,2,"Ephemeroptera","Heptageniidae",1,5
"420",420,"2/20/2022","SM",3,2,2,"Plecoptera","Perlodidae",1,1
"421",421,"2/20/2022","SM",4,5,1,"Ephemeroptera","Heptageniidae",1,1
"422",422,"2/20/2022","SM",4,5,1,"Ephemeroptera","Heptageniidae",1,1
"423",423,"2/20/2022","SM",4,5,1,"Ephemeroptera","Heptageniidae",1,1
"424",424,"2/20/2022","SM",4,5,1,"Plecoptera","Perlodidae",1,1
"425",425,"2/20/2022","SM",4,5,1,"Plecoptera","Perlodidae",1,1
"426",426,"2/20/2022","SM",4,5,1,"Plecoptera","Perlodidae",1,1
"427",427,"2/20/2022","SM",4,5,1,"Plecoptera","Perlodidae",1,1
"428",428,"2/20/2022","SM",4,4,1,"Trichoptera","Brachycentridae",1,1
"429",429,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"430",430,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"431",431,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"432",432,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"433",433,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"434",434,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"435",435,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"436",436,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"437",437,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"438",438,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"439",439,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"440",440,"2/20/2022","SM",4,4,1,"Ephemeroptera","Baetidae",1,1
"441",441,"2/20/2022","SM",5,4,1,"Ephemeroptera","Heptageniidae",1,1
"442",442,"2/20/2022","SM",3,4,1,"Ephemeroptera","Heptageniidae",1,1
"443",443,"2/20/2022","SM",3,4,1,"Ephemeroptera","Baetidae",1,1
"444",444,"2/20/2022","SM",3,4,1,"Plecoptera","Perlodidae",1,1
"445",445,"2/20/2022","SM",3,4,1,"Plecoptera","Perlidae",1,1
"446",446,"2/20/2022","SM",4,5,2,"Ephemeroptera","Heptageniidae",1,1
"447",447,"2/20/2022","SM",4,5,2,"Ephemeroptera","Baetidae",1,1
"448",448,"2/20/2022","SM",4,5,2,"Trichoptera","Hydropsychidae ",1,1
"449",449,"2/20/2022","SM",1,4,1,"Ephemeroptera","Baetidae",1,1
"450",450,"2/20/2022","SM",2,5,2,"Ephemeroptera","Heptageniidae",1,1
"451",451,"2/20/2022","SM",2,5,2,"Ephemeroptera","Heptageniidae",1,1
"452",452,"2/20/2022","SM",2,5,2,"Plecoptera","Perlodidae",1,1
"453",453,"2/20/2022","SM",2,5,2,"Plecoptera","Perlodidae",1,1
"454",454,"2/20/2022","SM",2,5,2,"Plecoptera","Perlodidae",1,1
"455",455,"2/20/2022","SM",2,5,2,"Plecoptera","Perlodidae",1,1
"456",456,"2/20/2022","SM",2,5,2,"Plecoptera","Perlodidae",1,1
"457",457,"2/20/2022","SM",2,5,2,"Ephemeroptera","Heptageniidae",1,1
"458",458,"2/20/2022","SM",2,5,2,"Trichoptera","Odontoceridae",1,1
"459",459,"2/20/2022","SM",4,1,1,"Ephemeroptera","Heptageniidae",1,1
"460",460,"2/20/2022","SM",4,1,1,"Ephemeroptera","Heptageniidae",1,1
"461",461,"2/20/2022","SM",4,1,1,"Ephemeroptera","Heptageniidae",1,1
"462",462,"2/20/2022","SM",5,4,2,"Plecoptera","Perlodidae",1,1
"463",463,"2/20/2022","SM",5,4,2,"Plecoptera","Perlodidae",1,1
"464",464,"2/20/2022","SM",5,4,2,"Trichoptera","Odontoceridae",1,1
"465",465,"2/20/2022","SM",4,3,1,"Plecoptera","Perlidae",1,1
"466",466,"2/20/2022","SM",4,3,1,"Plecoptera","Perlodidae",1,1
"467",467,"2/20/2022","SM",4,1,2,"Plecoptera","Perlodidae",1,1
"468",468,"2/20/2022","SM",4,1,2,"Ephemeroptera","Heptageniidae",1,1
"469",469,"2/20/2022","SM",4,1,2,"Ephemeroptera","Heptageniidae",1,1
"470",470,"2/20/2022","SM",4,1,2,"Ephemeroptera","Baetidae",1,1
"471",471,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,5
"472",472,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,5
"473",473,"2/20/2022","SM",2,3,1,"Ephemeroptera","Heptageniidae",1,1
"474",474,"2/20/2022","SM",2,3,1,"Ephemeroptera","Heptageniidae",1,1
"475",475,"2/20/2022","SM",2,3,1,"Ephemeroptera","Heptageniidae",1,1
"476",476,"2/20/2022","SM",2,3,1,"Ephemeroptera","Heptageniidae",1,1
"477",477,"2/20/2022","SM",2,3,1,"Ephemeroptera","Baetidae",1,1
"478",478,"2/20/2022","SM",2,3,1,"Ephemeroptera","Baetidae",1,1
"479",479,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"480",480,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"481",481,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"482",482,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"483",483,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"484",484,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"485",485,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"486",486,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"487",487,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"488",488,"2/20/2022","SM",2,3,1,"Plecoptera","Perlodidae",1,1
"489",489,"2/20/2022","SM",2,3,1,"Plecoptera","Leuctridae",1,1
"490",490,"2/20/2022","SM",2,3,1,"Plecoptera","Leuctridae",1,1
"491",491,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,1
"492",492,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,1
"493",493,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,1
"494",494,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,1
"495",495,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,1
"496",496,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,1
"497",497,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,1
"498",498,"2/20/2022","SM",2,3,1,"Plecoptera","Perlidae",1,1
"499",499,"2/20/2022","SM",1,4,2,"Ephemeroptera","Heptageniidae",1,1
"500",500,"2/20/2022","SM",1,4,2,"Ephemeroptera","Heptageniidae",1,1
"501",501,"2/20/2022","SM",1,4,2,"Trichoptera","Philopotamidae",1,1
"502",502,"2/20/2022","SM",2,1,1,"Ephemeroptera","Heptageniidae",1,5
"503",503,"2/20/2022","SM",2,1,1,"Ephemeroptera","Heptageniidae",1,1
"504",504,"2/20/2022","SM",2,1,1,"Ephemeroptera","Heptageniidae",1,1
"505",505,"2/20/2022","SM",2,1,1,"Ephemeroptera","Heptageniidae",1,1
"506",506,"2/20/2022","SM",2,1,1,"Ephemeroptera","Heptageniidae",1,1
"507",507,"2/20/2022","SM",2,1,1,"Plecoptera","Perlodidae",1,5
"508",508,"2/20/2022","SM",2,1,1,"Plecoptera","Perlidae",1,1
"509",509,"2/20/2022","SM",2,1,1,"Plecoptera","Perlodidae",1,1
"510",510,"2/20/2022","SM",1,3,1,"Ephemeroptera","Baetidae",1,1
"511",511,"2/20/2022","SM",1,3,1,"Trichoptera","Sericostomatidae",1,1
"512",512,"2/20/2022","SM",4,2,1,"Ephemeroptera","Heptageniidae",1,1
"513",513,"2/20/2022","SM",4,2,1,"Plecoptera","Perlodidae",1,1
"514",514,"2/20/2022","SM",4,2,1,"Plecoptera","Leuctridae",1,1
"515",515,"2/20/2022","SM",2,4,2,"Ephemeroptera","Heptageniidae",1,1
"516",516,"2/20/2022","SM",2,4,2,"Ephemeroptera","Heptageniidae",1,1
"517",517,"2/20/2022","SM",2,4,2,"Plecoptera","Perlodidae",1,1
"518",518,"2/20/2022","SM",2,4,2,"Plecoptera","Perlodidae",1,1
"519",519,"2/20/2022","SM",2,4,2,"Plecoptera","Perlodidae",1,1
"520",520,"2/20/2022","SM",2,4,2,"Plecoptera","Perlodidae",1,1
"521",521,"2/20/2022","SM",4,2,2,"Ephemeroptera","Heptageniidae",1,1
"522",522,"2/20/2022","SM",4,2,2,"Ephemeroptera","Heptageniidae",1,1
"523",523,"2/20/2022","SM",4,2,2,"Ephemeroptera","Heptageniidae",1,1
"524",524,"2/20/2022","SM",4,2,2,"Ephemeroptera","Heptageniidae",1,1
"525",525,"2/20/2022","SM",4,2,2,"Plecoptera","Perlidae",1,1
"526",526,"2/20/2022","SM",4,2,2,"Plecoptera","Perlidae",1,1
"527",527,"2/20/2022","SM",4,2,2,"Trichoptera","Limnephilidae",1,1
"528",528,"2/20/2022","SM",4,2,2,"Trichoptera","Limnephilidae",1,1
"529",529,"2/20/2022","SM ",1,2,2,"Ephemeroptera","Heptageniidae",1,1
"530",530,"2/20/2022","SM ",1,2,2,"Ephemeroptera","Heptageniidae",1,1
"531",531,"2/20/2022","SM ",1,2,2,"Ephemeroptera","Heptageniidae",1,1
"532",532,"2/20/2022","SM ",1,2,2,"Ephemeroptera","Heptageniidae",1,1
"533",533,"2/20/2022","SM ",1,2,2,"Ephemeroptera","Heptageniidae",1,1
"534",534,"2/20/2022","SM ",1,2,2,"Ephemeroptera","Baetidae",1,1
"535",535,"2/20/2022","SM ",1,2,2,"Ephemeroptera","Heptageniidae",1,1
"536",536,"2/20/2022","SM ",1,2,2,"Plecoptera","Perlodidae",1,1
"537",537,"2/20/2022","SM ",1,2,2,"Plecoptera","Perlodidae",1,1
"538",538,"2/20/2022","SM ",1,2,2,"Plecoptera","Perlodidae",1,1
"539",539,"2/20/2022","SM ",1,2,2,"Plecoptera","Perlodidae",1,1
"540",540,"2/20/2022","SM ",1,2,2,"Trichoptera","Brachycentridae",1,1
"541",541,"2/20/2022","SM ",1,2,2,"Trichoptera","Dipseudopsidae",1,1
"542",542,"2/21/2022","SM ",1,2,2,"Plecoptera","Pteronarcyidae",1,5
"543",543,"2/20/2022","SM ",1,2,2,"Trichoptera","Philopotamidae",1,1
"544",544,"2/20/2022","SM ",3,4,2,"Plecoptera","Perlidae",1,1
"545",545,"2/20/2022","SM ",3,4,2,"Plecoptera","Perlodidae",1,1
"546",546,"2/20/2022","SM ",3,4,2,"Plecoptera","Perlodidae",1,1
"547",547,"2/20/2022","SM ",3,4,2,"Plecoptera","Perlodidae",1,1
"548",548,"2/20/2022","SM ",3,4,2,"Plecoptera","Perlodidae",1,1
"549",549,"2/20/2022","SM ",3,4,2,"Ephemeroptera","Heptageniidae",1,1
"550",550,"2/20/2022","SM ",3,4,2,"Trichoptera","Brachycentridae",1,1
"551",551,"2/20/2022","SM ",3,4,2,"Plecoptera","Pteronarcyidae",1,5
